,SN,Bad,Bad Critical,Critical Pass Rate,Good,Ignored,Pass Rate
57,FR220013010045,11,1,0.9090909090909091,78,1,0.8764044943820225
58,FR220013010046,7,1,0.9090909090909091,82,1,0.9213483146067416
59,FR220013010047,7,1,0.9090909090909091,82,1,0.9213483146067416
60,FR220013010048,10,1,0.9090909090909091,79,1,0.8876404494382022
61,FR220013010049,7,1,0.9090909090909091,82,1,0.9213483146067416
62,FR220013010050,7,1,0.9090909090909091,82,1,0.9213483146067416
63,FR220013010051,7,1,0.9090909090909091,82,1,0.9213483146067416
64,FR220013010052,8,1,0.9090909090909091,81,1,0.9101123595505618
65,FR220013010053,9,1,0.9090909090909091,80,1,0.898876404494382
66,FR220013010054,8,1,0.9090909090909091,81,1,0.9101123595505618
67,FR220013010055,7,1,0.9090909090909091,82,1,0.9213483146067416
68,FR220013010056,7,1,0.9090909090909091,82,1,0.9213483146067416
69,FR220013010057,10,1,0.9090909090909091,79,1,0.8876404494382022
70,FR220013010058,7,1,0.9090909090909091,82,1,0.9213483146067416
71,FR220013010059,9,1,0.9090909090909091,80,1,0.898876404494382
72,FR220013010060,7,1,0.9090909090909091,82,1,0.9213483146067416
73,FR220013010061,8,1,0.9090909090909091,81,1,0.9101123595505618
74,FR220013010062,9,1,0.9090909090909091,80,1,0.898876404494382
75,FR220013010063,8,1,0.9090909090909091,81,1,0.9101123595505618
76,FR220013010064,8,1,0.9090909090909091,81,1,0.9101123595505618
77,FR220013010065,7,1,0.9090909090909091,82,1,0.9213483146067416
78,FR220013010066,7,1,0.9090909090909091,82,1,0.9213483146067416
79,FR220013010067,8,1,0.9090909090909091,81,1,0.9101123595505618
80,FR220013010068,10,1,0.9090909090909091,79,1,0.8876404494382022
81,FR220013010069,7,1,0.9090909090909091,82,1,0.9213483146067416
82,FR220013010070,7,1,0.9090909090909091,82,1,0.9213483146067416
83,FR220013010071,7,1,0.9090909090909091,82,1,0.9213483146067416
84,FR220013010072,7,1,0.9090909090909091,82,1,0.9213483146067416
85,FR220013010073,8,1,0.9090909090909091,81,1,0.9101123595505618
86,FR220013010074,7,1,0.9090909090909091,82,1,0.9213483146067416
87,FR220013010075,11,1,0.9090909090909091,78,1,0.8764044943820225
88,FR220013010076,8,1,0.9090909090909091,81,1,0.9101123595505618
89,FR220013010077,11,1,0.9090909090909091,78,1,0.8764044943820225
90,FR220013010078,8,1,0.9090909090909091,81,1,0.9101123595505618
91,FR220013010079,9,1,0.9090909090909091,80,1,0.898876404494382
92,FR220013010080,10,1,0.9090909090909091,79,1,0.8876404494382022
93,FR220013010081,8,1,0.9090909090909091,81,1,0.9101123595505618
94,FR220013010082,7,1,0.9090909090909091,82,1,0.9213483146067416
95,FR220013010083,11,1,0.9090909090909091,78,1,0.8764044943820225
96,FR220013010084,11,1,0.9090909090909091,78,1,0.8764044943820225
97,FR220013010085,9,1,0.9090909090909091,80,1,0.898876404494382
98,FR220013010086,9,2,0.8181818181818182,80,1,0.898876404494382
99,FR220013010087,7,1,0.9090909090909091,82,1,0.9213483146067416
100,FR220013010088,7,1,0.9090909090909091,82,1,0.9213483146067416
101,FR220013010089,7,1,0.9090909090909091,82,1,0.9213483146067416
102,FR220013010090,7,1,0.9090909090909091,82,1,0.9213483146067416
103,FR220013010091,7,1,0.9090909090909091,82,1,0.9213483146067416
104,FR220013010092,14,1,0.9090909090909091,75,1,0.8426966292134831
105,FR220013010093,10,1,0.9090909090909091,79,1,0.8876404494382022
106,FR220013010094,7,1,0.9090909090909091,82,1,0.9213483146067416
107,FR220013010095,7,1,0.9090909090909091,82,1,0.9213483146067416
108,FR220013010096,7,1,0.9090909090909091,82,1,0.9213483146067416
109,FR220013010097,7,1,0.9090909090909091,82,1,0.9213483146067416
110,FR220013010098,8,1,0.9090909090909091,81,1,0.9101123595505618
111,FR220013010099,7,1,0.9090909090909091,82,1,0.9213483146067416
112,FR220013010100,11,1,0.9090909090909091,78,1,0.8764044943820225
113,FR220013010101,11,1,0.9090909090909091,78,1,0.8764044943820225
114,FR220013010102,7,1,0.9090909090909091,82,1,0.9213483146067416
115,FR220013010103,9,1,0.9090909090909091,80,1,0.898876404494382
116,FR220013010104,8,2,0.8181818181818182,81,1,0.9101123595505618
117,FR220013010105,11,1,0.9090909090909091,78,1,0.8764044943820225
118,FR220013010106,11,1,0.9090909090909091,78,1,0.8764044943820225
119,FR220013010107,12,2,0.8181818181818182,77,1,0.8651685393258427
120,FR220013010108,9,1,0.9090909090909091,80,1,0.898876404494382
121,FR220013010109,11,1,0.9090909090909091,78,1,0.8764044943820225
122,FR220013010110,14,2,0.9090909090909091,164,2,0.9213483146067416
123,FR220013010111,7,1,0.9090909090909091,82,1,0.9213483146067416
124,FR220013010112,9,1,0.9090909090909091,80,1,0.898876404494382
125,FR220013010113,9,1,0.9090909090909091,80,1,0.898876404494382
